tmp,Unnamed:0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames,iteration,model_label
0,0,model_500,49.4928091514351,47.84391302107668,45408,500,with_betab
1,1,model_1000,44.04981995135355,42.21413955487199,45408,1000,with_betab
2,2,model_9500,28.25385278551881,25.360680018775803,45408,9500,with_betab
3,3,model_2000,36.51417432005758,34.4554712647455,45408,2000,with_betab
4,4,model_3000,34.1506148526568,31.94431137311373,45408,3000,with_betab
5,5,model_8500,28.58152359714077,25.661425120930748,45408,8500,with_betab
6,6,model_7000,29.573691451795355,26.696035888552665,45408,7000,with_betab
7,7,model_6000,31.642455382403213,28.88707343829117,45408,6000,with_betab
8,8,model_4000,33.17838353153029,30.712032316477213,45408,4000,with_betab
9,9,model_5000,32.453091295856986,29.880127930346518,45408,5000,with_betab
10,10,model_7500,29.01579259008081,26.193179030880152,45408,7500,with_betab
11,11,model_6500,29.835161949668848,26.95323611932749,45408,6500,with_betab
12,12,model_4500,33.02979721508202,30.50593010030584,45408,4500,with_betab
13,13,model_5500,31.991488601433602,29.32205794065873,45408,5500,with_betab
14,14,model_1500,39.7164092424719,37.72858562318083,45408,1500,with_betab
15,15,model_9000,28.490833418215146,25.51637568546753,45408,9000,with_betab
16,16,model_2500,35.284416557386976,33.211611398014625,45408,2500,with_betab
17,17,model_3500,33.39409109631156,31.10451078038425,45408,3500,with_betab
18,18,model_8000,28.98941026430441,26.11938755657937,45408,8000,with_betab
0,0,model_16500,27.0242518442907,23.85525225855759,45408,16500,with_betab
1,1,model_17500,26.99488770080764,23.816085747816988,45408,17500,with_betab
2,2,model_15500,27.09711609997435,23.99798649792261,45408,15500,with_betab
3,3,model_14500,27.183720759947487,24.07228421975143,45408,14500,with_betab
4,4,model_10500,27.91028175689389,24.9169755540614,45408,10500,with_betab
5,5,model_11500,27.84063625181128,24.775226257592593,45408,11500,with_betab
6,6,model_13500,27.511544278076247,24.45181733074974,45408,13500,with_betab
7,7,model_18000,26.691699019967032,23.63371213395723,45408,18000,with_betab
8,8,model_19000,26.580950281829377,23.43792860648924,45408,19000,with_betab
9,9,model_12500,27.51266261992789,24.481010931633648,45408,12500,with_betab
10,10,model_10000,28.098292517035013,25.07757009822821,45408,10000,with_betab
11,11,model_11000,27.806813831550606,24.82849841917805,45408,11000,with_betab
12,12,model_13000,27.70822816280143,24.55976460759755,45408,13000,with_betab
13,13,model_18500,26.74375326832216,23.56423568747183,45408,18500,with_betab
14,14,model_19500,26.57093810646443,23.429692032551106,45408,19500,with_betab
15,15,model_12000,27.77267029919677,24.755395308017928,45408,12000,with_betab
16,16,model_16000,27.04081875816267,23.90502064393473,45408,16000,with_betab
17,17,model_17000,26.982309198198763,23.88987898640429,45408,17000,with_betab
18,18,model_15000,27.33563395670084,24.141086600877962,45408,15000,with_betab
19,19,model_14000,27.214360373377303,24.145385806559574,45408,14000,with_betab
