,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames,iteration,model_label
0,0,model_6000,35.14407789984564,32.862123316155746,45408,6000,without_prior
1,1,model_7000,30.57025512016046,28.111596860556016,45408,7000,without_prior
2,2,model_5000,36.27964174389745,34.08198041131796,45408,5000,without_prior
3,3,model_4000,38.20494815847249,36.19037077393157,45408,4000,without_prior
4,4,model_500,50.17908461942584,48.55795015362567,45408,500,without_prior
5,5,model_1000,48.8039241863225,47.15987787283193,45408,1000,without_prior
6,6,model_3000,43.03326030986274,41.146752813342296,45408,3000,without_prior
7,7,model_8500,29.64183943760571,27.012129524504232,45408,8500,without_prior
8,8,model_9500,29.35682547889741,26.74893133396069,45408,9500,without_prior
9,9,model_2000,49.12764572908839,47.27557481587783,45408,2000,without_prior
10,10,model_1500,49.01144756883718,47.214215372184995,45408,1500,without_prior
11,11,model_3500,40.567392660642035,38.55887831727028,45408,3500,without_prior
12,12,model_8000,29.935304792262336,27.39091471114143,45408,8000,without_prior
13,13,model_9000,29.39621222797926,26.799811836836483,45408,9000,without_prior
14,14,model_2500,47.54099144450308,45.6352833052733,45408,2500,without_prior
15,15,model_6500,31.307624014629713,28.84276338473145,45408,6500,without_prior
16,16,model_7500,30.362505795554465,27.915732819914943,45408,7500,without_prior
17,17,model_5500,35.480626700829234,33.24646299405211,45408,5500,without_prior
18,18,model_4500,37.37139176519673,35.292507897016456,45408,4500,without_prior
0,0,model_12000,28.25474910982325,25.44765458682716,45408,12000,without_prior
1,1,model_19500,26.98371872776513,23.833646905841857,45408,19500,without_prior
2,2,model_18500,27.36777479530704,24.169747212200843,45408,18500,without_prior
3,3,model_13000,28.16223400715885,25.301034574423326,45408,13000,without_prior
4,4,model_11000,28.54775595343972,25.80409615600781,45408,11000,without_prior
5,5,model_10000,28.97741503676885,26.286823840432586,45408,10000,without_prior
6,6,model_14000,27.934773834475042,24.967589404368873,45408,14000,without_prior
7,7,model_15000,27.68342290295321,24.69630694554163,45408,15000,without_prior
8,8,model_17000,27.728562445325252,24.652567337040892,45408,17000,without_prior
9,9,model_16000,27.5201800558002,24.51571168305168,45408,16000,without_prior
10,10,model_14500,27.796321948954958,24.863566736457,45408,14500,without_prior
11,11,model_15500,27.582442952093754,24.56520403692605,45408,15500,without_prior
12,12,model_17500,27.492511031550485,24.3774984791147,45408,17500,without_prior
13,13,model_16500,27.500818337946786,24.49964430068569,45408,16500,without_prior
14,14,model_12500,28.337958365591774,25.45761734125142,45408,12500,without_prior
15,15,model_19000,27.056125733808074,23.972026337515693,45408,19000,without_prior
16,16,model_18000,27.24284576885251,24.17736658986341,45408,18000,without_prior
17,17,model_13500,28.01838666605104,25.187933170995432,45408,13500,without_prior
18,18,model_11500,28.571142518843335,25.728909034798107,45408,11500,without_prior
19,19,model_10500,28.829133939999732,26.028639927426585,45408,10500,without_prior
