phase	backend_tag	job_id	scorer	n_runs	pcc_mean	pcc_std	pcc_low_min	pcc_high_max	mse_mean	mse_std	n_phones	source_count
phase1	original	a1_scalar	scalar	1	0.3104	0.0000	0.3022	0.3185	0.6871	0.0000	47369	1
phase1	original	a2_feats	svr_feats	1	0.5481	0.0000	0.5417	0.5543	0.2136	0.0000	47369	1
phase1	original	a3_gopt	gopt	5	0.6368	0.0115	0.6185	0.6588	0.0818	0.0021	47369	1
phase1	xlsr	a1_scalar	scalar	1	0.3195	0.0000	0.3113	0.3277	0.6655	0.0000	46314	1
phase1	xlsr	a2_feats	svr_feats	1	0.5747	0.0000	0.5686	0.5808	0.2052	0.0000	46314	1
phase1	xlsr	a3_gopt	gopt	5	0.6774	0.0127	0.6602	0.7005	0.0729	0.0024	46314	1
phase2	original	b1_gopsf	scalar	1	0.3104	0.0000	0.3022	0.3185	0.6871	0.0000	47369	1
phase2	original	b2_logit_margin	scalar	1	0.2206	0.0000	0.2120	0.2291	0.7256	0.0000	47369	1
phase2	original	b3_logit_combined_a025	scalar	1	0.3338	0.0000	0.3258	0.3418	0.6189	0.0000	47369	1
phase2	original	b4_logit_combined_a050	scalar	1	0.3022	0.0000	0.2940	0.3104	0.6507	0.0000	47369	1
phase2	original	b5_logit_combined_a075	scalar	1	0.2561	0.0000	0.2477	0.2645	0.6894	0.0000	47369	1
phase2	xlsr	b1_gopsf	scalar	1	0.3195	0.0000	0.3113	0.3277	0.6655	0.0000	46314	1
phase2	xlsr	b2_logit_margin	scalar	1	0.1849	0.0000	0.1761	0.1937	0.8177	0.0000	46314	1
phase2	xlsr	b3_logit_combined_a025	scalar	1	0.3452	0.0000	0.3372	0.3532	0.5981	0.0000	46314	1
phase2	xlsr	b4_logit_combined_a050	scalar	1	0.3222	0.0000	0.3140	0.3304	0.6322	0.0000	46314	1
phase2	xlsr	b5_logit_combined_a075	scalar	1	0.2664	0.0000	0.2579	0.2748	0.7131	0.0000	46314	1
